geo,country,year,education,fertility,population
mli,Mali,1971,0.1,7.2,6377944.0
mmr,Myanmar,1971,1.3,5.62,27807219.0
mne,Montenegro,1971,4.9,2.67,535109.0
mng,Mongolia,1971,3.8,7.3,1330071.0
moz,Mozambique,1971,0.3,6.7,8456317.0
mrt,Mauritania,1971,0.2,6.7,1133702.0
mus,Mauritius,1971,1.5,3.51,841106.0
mwi,Malawi,1971,0.6,7.31,4751434.0
mys,Malaysia,1971,1.6,4.92,10423453.0
nam,Namibia,1971,1.6,6.52,780584.0
ner,Niger,1971,0.1,7.52,4776225.0
nga,Nigeria,1971,0.6,6.53,57214684.0
nic,Nicaragua,1971,1.9,6.71,2499825.0
nld,Netherlands,1971,6.4,2.37,13208354.0
nor,Norway,1971,6.3,2.49,3902751.0
npl,Nepal,1971,0.1,5.85,12710061.0
nzl,New Zealand,1971,6.6,3.18,2867165.0
omn,Oman,1971,0.6,7.56,681119.0
pak,Pakistan,1971,0.3,6.8,61847899.0
pan,Panama,1971,4.9,5.05,1556081.0
per,Peru,1971,3.0,6.21,13838067.0
phl,Philippines,1971,4.6,6.08,38518659.0
png,Papua New Guinea,1971,0.5,6.23,2566421.0
pol,Poland,1971,7.5,2.25,32771296.0
prt,Portugal,1971,2.3,3.0,8685582.0
pry,Paraguay,1971,3.0,5.59,2442537.0
pse,Palestine,1971,1.5,7.61,1134113.0
qat,Qatar,1971,1.6,6.15,131346.0
rou,Romania,1971,5.8,2.6,20293482.0
rus,Russia,1971,5.9,2.05,130987113.0
rwa,Rwanda,1971,0.4,8.09,4100044.0
sau,Saudi Arabia,1971,0.6,7.56,3724031.0
sdn,Sudan,1971,0.4,7.02,12105539.0
sen,Senegal,1971,0.3,7.26,4601864.0
sgp,Singapore,1971,2.3,3.02,2128433.0
slb,Solomon Islands,1971,0.9,6.99,180637.0
sle,Sierra Leone,1971,0.3,6.43,2763222.0
slv,El Salvador,1971,2.5,6.13,3757523.0
som,Somalia,1971,0.1,7.15,3837691.0
srb,Serbia,1971,4.4,1.96,7375140.0
stp,Sao Tome and Principe,1971,0.7,6.49,79330.0
sur,Suriname,1971,3.0,5.36,391932.0
svk,Slovak Republic,1971,4.7,2.43,4560418.0
svn,Slovenia,1971,4.2,2.16,1752711.0
swe,Sweden,1971,7.2,1.96,8098102.0
swz,Eswatini,1971,1.4,6.74,453183.0
syc,Seychelles,1971,3.7,5.69,55511.0
syr,Syria,1971,0.7,7.6,6598094.0
tcd,Chad,1971,0.1,6.58,3807316.0
tgo,Togo,1971,0.3,7.06,2317976.0
tha,Thailand,1971,2.9,5.25,36937387.0
tjk,Tajikistan,1971,4.4,6.91,3028837.0
tkm,Turkmenistan,1971,4.7,6.32,2253119.0
tls,Timor-Leste,1971,0.2,5.58,562966.0
ton,Tonga,1971,5.0,5.96,85896.0
tto,Trinidad and Tobago,1971,4.9,3.61,1002585.0
tun,Tunisia,1971,0.5,6.29,5261658.0
tur,Turkey,1971,1.3,5.67,37518611.0
tza,Tanzania,1971,0.7,7.04,13971451.0
uga,Uganda,1971,0.7,7.18,10618206.0
ukr,Ukraine,1971,7.0,2.11,47573287.0
ury,Uruguay,1971,5.3,2.77,2806462.0
usa,USA,1971,11.1,2.32,210426432.0
uzb,Uzbekistan,1971,5.1,6.28,12111511.0
ven,Venezuela,1971,3.0,5.17,11741008.0
